Address,Price,No. of Beds,No. of Baths,Area,Extra Info
"6200 Westholme Way, Sacramento, CA 95823","$399,900",4 beds,2 baths,"1,549 sq ft",
"8356 Marina Greens Way, Sacramento, CA 95826","$565,000",3 beds,2 baths,"1,326 sq ft","6,482 sq ft lot | 2 garage spots | 6,482 sq ft lot"
"1911 Urbana Way, Sacramento, CA 95833","$420,000",2 beds,2 baths,"1,262 sq ft",
"7716 La Reina Way, Sacramento, CA 95828","$135,000",2 beds,2 baths,"1,400 sq ft",
"1921 El Bolsillo Way, Sacramento, CA 95822","$440,000",2 beds,2 baths,"1,090 sq ft",
"4206 Loazell Ct, Sacramento, CA 95864","$1,345,000",4 beds,3 baths,"2,479 sq ft",
"2747 24th St, Sacramento, CA 95818","$1,200,000",8 beds,6 baths,"3,872 sq ft",
"959 Johnfer Way, Sacramento, CA 95831","$690,000",4 beds,2 baths,"1,840 sq ft",
"2545 28th St, Sacramento, CA 95818","$1,495,000",8 beds,1 bath,"4,213 sq ft",
"3835 Stillman Park Cir, Sacramento, CA 95824","$125,000",2 beds,2 baths,"1,344 sq ft",
"5716 Lonsdale Dr, Sacramento, CA 95822","$637,000",3 beds,2 baths,"1,704 sq ft",
"12 Pina St, Sacramento, CA 95828","$99,000",2 beds,2 baths,"1,344 sq ft",
"256 Olmstead Dr, Sacramento, CA 95838","$365,000",2 beds,2 baths,960 sq ft,0.23 acre lot | 2 garage spots | 0.23 acre lot
"2441 Rio Linda Blvd, Sacramento, CA 95815","$399,000",3 beds,2 baths,"1,464 sq ft",
"4113 Ashgrove Way, Sacramento, CA 95826","$299,000",4 beds,2 baths,"1,497 sq ft",
"20 Paramount Cir, Sacramento, CA 95823","$374,999",3 beds,1 bath,960 sq ft,
"1078 La Fleur Way, Sacramento, CA 95831","$900,000",5 beds,4.5 baths,"3,287 sq ft",
"3620 Gold Creek Ln, Sacramento, CA 95827","$359,000",2 beds,2.5 baths,"1,114 sq ft",$455 HOA | 2 garage spots | $455 HOA
"9762 Jeff Handy Dr, Sacramento, CA 95829","$569,999",4 beds,3 baths,"2,002 sq ft",
"6125 Jack London Cir, Sacramento, CA 95842","$414,900",3 beds,2 baths,"1,092 sq ft",
"4271 Warren Ave, Sacramento, CA 95822","$629,900",4 beds,2.5 baths,"1,851 sq ft",
"1738 Bannon Creek Dr, Sacramento, CA 95833","$464,900",3 beds,2 baths,"1,230 sq ft",
"8942 Gulfport Way, Sacramento, CA 95826","$349,000",3 beds,2 baths,"1,256 sq ft","6,059 sq ft lot | 2 garage spots | 6,059 sq ft lot"
"1870 Zurlo Way, Sacramento, CA 95835","$465,000",3 beds,2 baths,"1,120 sq ft","3,740 sq ft lot | 2 garage spots | 3,740 sq ft lot"
"8732 Oldfield Way, Sacramento, CA 95829","$639,000",4 beds,3.5 baths,"2,107 sq ft",
"1852 Morse Ave, Sacramento, CA 95825","$9,250,000",90 beds,90 baths,"42,236 sq ft",
"3439 Del Mesa Ct, Sacramento, CA 95821","$719,000",3 beds,2.5 baths,"2,282 sq ft",
"3320 Saint Mathews Dr, Sacramento, CA 95821","$539,000",2 beds,2 baths,"1,286 sq ft",
"3306 Lunar Sky Walk, Sacramento, CA 95834","$437,990",3 beds,2 baths,"1,296 sq ft",
"1908 22nd St, Sacramento, CA 95816","$515,000",2 beds,1 bath,"1,084 sq ft",
"4949 Del Norte Blvd, Sacramento, CA 95820","$325,000",3 beds,2 baths,"1,147 sq ft",
,,,,,
"4800 Westlake Pkwy #405, Sacramento, CA 95835","$340,000",2 beds,2.5 baths,"1,429 sq ft",
"200 P St Unit C13, Sacramento, CA 95814","$395,000",2 beds,2 baths,"1,400 sq ft",
,,,,,
"7449 Circle Pkwy, Sacramento, CA 95823","$424,999",3 beds,1 bath,"1,120 sq ft",
"4309 22nd Ave, Sacramento, CA 95820","$515,000",4 beds,3.5 baths,"2,260 sq ft",
"579 De Mar Dr, Sacramento, CA 95831","$529,000",3 beds,2 baths,"1,180 sq ft",
"2046 Edwin Way, Sacramento, CA 95825","$390,000",2 beds,2 baths,996 sq ft,
"6429 Sunnyfield Way, Sacramento, CA 95823","$399,000",3 beds,2 baths,"1,210 sq ft",
"4456 Danube River Ln, Sacramento, CA 95834","$539,900",2 beds,2 baths,"1,743 sq ft",
"175 Log Pond Ln, Sacramento, CA 95818","$459,000",2 beds,2.5 baths,"1,015 sq ft",
,,,,,
"2218 Shaw St, Sacramento, CA 95821","$445,000",3 beds,2 baths,"1,600 sq ft",
"5601 Cancion St, Sacramento, CA 95835","$795,000",5 beds,4 baths,"2,804 sq ft",
"9120 Sunfire Way, Sacramento, CA 95826","$485,000",3 beds,2 baths,"1,344 sq ft","6,316 sq ft lot | 3 garage spots | 6,316 sq ft lot"
"8224 Essen Way, Sacramento, CA 95823","$520,000",4 beds,4 baths,"1,767 sq ft",
"4617 - 4621 14th Ave, Sacramento, CA 95820","$799,000",5 beds,4 baths,"2,137 sq ft",
"34 Timberwood Ct, Sacramento, CA 95833","$479,000",3 beds,2 baths,"1,210 sq ft",
"557 Crocker Rd, Sacramento, CA 95864","$2,890,000",5 beds,5.5 baths,"5,184 sq ft",
"3125 Mayfair Dr, Sacramento, CA 95864","$399,000",2 beds,1 bath,930 sq ft,
"9560 Cassandra Way, Sacramento, CA 95827","$540,000",6 beds,4 baths,"2,094 sq ft",
"109 River Chase Cir, Sacramento, CA 95864","$625,000",3 beds,2 baths,"1,694 sq ft",
"1665 49th St, Sacramento, CA 95819","$409,900",1 bed,1 bath,562 sq ft,
"8906 Cobble Crest Dr, Sacramento, CA 95829","$525,000",4 beds,2.5 baths,"1,703 sq ft",
"2360 Jay King Walk, Sacramento, CA 95818","$695,000",3 beds,2.5 baths,"1,620 sq ft",
"1025 Foxhall Way, Sacramento, CA 95831","$595,000",4 beds,2.5 baths,"1,843 sq ft","7,841 sq ft lot | 2 garage spots | 7,841 sq ft lot"
